"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"B101_01";"B101_02";"B101_03";"B102_01";"B102_02";"B102_03";"B103_01";"B103_02";"B103_03";"B104_01";"B104_02";"B104_03";"B105_01";"B105_02";"B105_03";"B106_01";"B106_02";"B106_03";"B107_01";"B107_02";"B107_03";"B108_01";"B108_02";"B108_03";"B109_01";"B109_02";"B109_03";"B110_01";"B110_02";"B110_03";"B211_01";"B211_02";"B211_03";"B212_01";"B212_02";"B212_03";"B213_01";"B213_02";"B213_03";"B214_01";"B214_02";"B214_03";"B215_01";"B215_02";"B215_03";"B216_01";"B216_02";"B216_03";"B217_01";"B217_02";"B217_03";"B218_01";"B218_02";"B218_03";"B219_01";"B219_02";"B219_03";"B220_01";"B220_02";"B220_03";"EQ01_01";"EQ01_02";"EQ01_03";"IR01_01";"IR01_02";"IR01_03";"IR03_01";"IR03_02";"IR03_03";"IR02_01";"IR02_02";"IR02_03";"IR04_01";"IR04_02";"IR04_03";"KE01_01";"KE01_02";"KE01_03";"KE01_04";"KE01_05";"KE01_06";"KE01_07";"KE01_08";"KE01_09";"KE01_10";"KE01_11";"KE01_12";"KE01_13";"KE01_14";"KE01_15";"KE01_16";"KE01_17";"KE01_18";"KE01_19";"KE01_20";"KE01_21";"KE01_22";"KE01_23";"KE01_24";"KE01_25";"KE01_26";"KE01_27";"KE01_28";"KE01_29";"KE01_30";"KE01_31";"KE01_32";"KE01_33";"KE01_34";"C101_01";"C101_02";"C101_03";"C102_01";"C102_02";"C102_03";"C103_01";"C103_02";"C103_03";"C104_01";"C104_02";"C104_03";"C105_01";"C105_02";"C105_03";"C106_01";"C106_02";"C106_03";"C107_01";"C107_02";"C107_03";"C108_01";"C108_02";"C108_03";"C109_01";"C109_02";"C109_03";"C110_01";"C110_02";"C110_03";"C211_01";"C211_02";"C211_03";"C212_01";"C212_02";"C212_03";"C213_01";"C213_02";"C213_03";"C214_01";"C214_02";"C214_03";"C215_01";"C215_02";"C215_03";"C216_01";"C216_02";"C216_03";"C217_01";"C217_02";"C217_03";"C218_01";"C218_02";"C218_03";"C219_01";"C219_02";"C219_03";"C220_01";"C220_02";"C220_03";"GE01";"GE01_01";"GE01_02";"GE01_03";"GE01_04";"GE01_05";"GE01_06";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME008";"TIME009";"TIME010";"TIME011";"TIME012";"TIME013";"TIME014";"TIME015";"TIME016";"TIME017";"TIME018";"TIME019";"TIME020";"TIME021";"TIME022";"TIME023";"TIME024";"TIME025";"TIME026";"TIME027";"TIME028";"TIME029";"TIME030";"TIME031";"TIME032";"TIME033";"TIME034";"TIME035";"TIME036";"TIME037";"TIME038";"TIME039";"TIME040";"TIME041";"TIME042";"TIME043";"TIME044";"TIME045";"TIME046";"TIME047";"TIME048";"TIME049";"TIME050";"TIME051";"TIME052";"TIME053";"TIME054";"TIME055";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
30;;;"base";"interview";2021-02-12 16:20:12;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"11";"10";"3";"8";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;20;6;14;30;3;0;1;0;1;1;0;1;0;1;0;4;13;1;1;0;1;0;0;1;0;1;0;1;3;28;2;1;0;1;1;0;1;0;1;1;1;3;15;2;1;0;1;0;1;0;1;1;0;1;2;127;;2021-02-12 16:23:03;1;0;55;55;25;0;2.65;255
32;;;"base";"interview";2021-02-12 16:31:01;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;1;2;3;3;1;2;2;1;3;2;1;3;2;1;3;1;2;3;2;1;3;1;2;3;1;2;3;2;1;3;3;1;2;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"6";"2";"6";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";1;2;3;1;2;3;1;2;3;2;1;3;1;3;2;3;1;2;3;2;1;1;3;2;1;2;3;3;1;2;1;2;3;2;3;1;1;2;3;2;1;3;2;1;3;1;2;3;3;2;1;3;2;1;1;3;2;2;1;3;;;;;;;;483;24;37;59;9;10;8;6;8;7;5;6;6;6;5;30;32;5;6;9;5;7;6;6;6;6;5;10;71;16;9;5;7;9;9;8;7;7;7;8;7;78;18;8;8;7;7;8;9;7;7;6;8;8;22;497;;2021-02-12 16:50:44;1;0;55;55;0;0;0.64;1
33;;;"base";"interview";2021-02-12 16:51:19;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"4";"8";"10";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;2;2;2;97;3;1;0;1;0;1;0;1;0;1;0;3;13;1;0;0;0;0;0;1;0;1;0;1;3;27;2;0;0;0;1;0;1;0;1;0;1;2;11;2;0;0;0;1;0;0;1;0;1;0;845;88;;2021-02-12 17:08:30;1;0;55;55;25;0;2.72;314
34;;;"base";"interview";2021-02-15 10:42:37;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;1;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;1;2;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"8";"10";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;2;3;1;1;2;3;2;1;3;1;2;3;1;2;3;2;3;1;1;2;3;1;2;3;3;1;2;;;;;;;;2;8;14;9;5;4;5;4;4;4;4;4;4;6;3;2;5;7;8;9;6;7;8;4;4;5;4;4;3;10;8;5;5;5;6;6;6;7;6;5;7;2;3;10;8;11;9;9;9;8;10;9;8;9;2;339;;2021-02-15 10:48:16;1;0;55;55;0;0;1.09;26
35;;;"base";"interview";2021-02-15 10:48:53;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"10";"7";"8";"8";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;;;;;;;;4;2;1;2;1;1;0;1;0;0;1;0;0;0;0;3;1;2;0;1;0;0;1;0;0;1;0;1;1;2;1;0;0;1;0;0;0;1;0;0;0;2;1;2;0;1;0;0;0;1;0;2;1;0;2;41;;2021-02-15 10:49:34;1;0;55;55;25;0;2.98;357
37;;;"base";"interview";2021-02-15 12:08:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29;;2021-02-15 12:09:40;0;0;2;2;0;0;0.87;14
38;;;"base";"interview";2021-02-15 15:37:06;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;-9;1;2;3;1;2;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;1;2;3;;;;;;;;;;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";;;;;;;;;;;"1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;9;13;129;13;9;4;6;3;4;3;2;4;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;79;;2021-02-15 15:40:36;0;0;15;15;3;0;1.09;19
39;;;"base";"interview";2021-02-15 15:41:03;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;-9;-9;-9;1;2;3;1;2;3;1;2;3;3;1;2;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"9";"5";"9";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;3;1;2;1;2;3;1;2;3;2;1;3;1;2;3;2;3;1;1;-9;2;3;1;2;2;1;3;2;1;3;2;1;3;3;1;2;3;1;2;;;;;;;;1;3;9;9;3;3;3;3;3;3;3;4;3;3;3;21;16;4;4;3;3;4;3;3;3;3;3;3;56;13;8;6;7;6;6;6;5;5;5;5;4;21;22;9;22;14;14;24;10;12;14;7;15;14;51;443;;2021-02-15 15:49:33;1;0;55;55;1;0;0.98;17
40;;;"base";"interview";2021-02-15 15:59:48;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"1";"8";"2";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";2;1;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;1;3;2;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;-9;1;2;3;;;;;;;;1;3;1;2;4;2;2;2;2;2;2;3;2;2;2;13;9;2;2;2;1;2;2;2;2;2;2;2;32;13;6;2;14;4;2;2;3;2;3;3;2;13;5;2;2;2;3;1;2;2;1;2;2;2;3;198;;2021-02-15 16:03:13;1;0;55;55;1;0;2.01;86
41;;;"base";"interview";2021-02-15 16:04:04;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;1;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9;-9;-9;1;2;3;;;;;;;;;;"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";;;;;;;;;;;"7";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;2;2;4;2;2;3;2;2;2;2;3;2;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52;;2021-02-15 16:04:56;0;0;15;15;3;0;1.76;65
